split,period_level,transaction_year,rows,actual_mean,actual_median,predicted_mean,predicted_median,mean_residual_prediction_minus_actual,mae,transaction_quarter
train,quarter,2006,6427,236874.5251268088,227000.0,236974.50076639804,224241.31208737372,99.97563958926774,13139.106665472817,4.0
train,quarter,2007,6586,247018.52566049196,236000.0,249148.3901372189,232475.76736559445,2129.864476726957,14536.140376838463,1.0
train,quarter,2007,6454,251066.46373256895,240000.0,250355.53939980073,235069.7549411616,-710.9243327681874,14797.52288577431,2.0
train,quarter,2007,7248,266717.6630794702,256000.0,263323.19921199564,250343.2276913914,-3394.463867474524,18352.871256689836,3.0
train,quarter,2007,6694,283288.1483208844,268000.0,273477.7667040084,257157.43099628494,-9810.38161687599,22546.833489656507,4.0
train,quarter,2008,6458,298374.116289873,283000.0,306751.7958020641,293689.41410934983,8377.67951219108,22905.98931452726,1.0
train,quarter,2008,6789,311687.9170717337,298000.0,310223.39488731656,297614.4264860057,-1464.5221844171363,20581.069506613156,2.0
train,quarter,2008,7147,325071.4915181195,315000.0,322225.7131266915,313153.0923670677,-2845.778391427942,19699.374470370185,3.0
train,quarter,2008,6868,331928.7261211415,322000.0,329368.31672974554,319834.05758412066,-2560.40939139595,18666.283731855823,4.0
train,quarter,2009,6303,319585.1609487546,311000.0,316344.4967346946,309145.57205468946,-3240.6642140599674,17526.774873843475,1.0
train,quarter,2009,6961,326751.46710673755,318000.0,326162.0867460222,318360.59026392834,-589.3803607153307,16934.630147764954,2.0
train,quarter,2009,8138,341122.7922880314,332000.0,345368.14790776995,338619.5807837491,4245.3556197385205,17843.224298081677,3.0
train,quarter,2009,9080,356316.5049559471,348000.0,357227.45501484966,352514.42405135225,910.950058902539,19004.71432669304,4.0
train,quarter,2010,8507,359691.08722228755,348000.0,368816.83998926665,361141.63475438545,9125.752766979134,20854.08462830134,1.0
train,quarter,2010,9365,372195.1934479445,360000.0,373753.14721971337,366012.862930978,1557.9537717689202,19781.558194900354,2.0
train,quarter,2010,9979,390101.09947289305,375000.0,386759.6898859545,380131.43319950777,-3341.4095869385505,20629.386868150767,3.0
train,quarter,2010,7003,400412.7240839641,385000.0,394684.0720632639,387138.46223004983,-5728.652020700111,20716.86005539732,4.0
train,quarter,2011,5869,406882.2191616971,393000.0,412073.5434435817,403069.5393827392,5191.324281884595,19885.332654888538,1.0
train,quarter,2011,5964,418449.04734238767,403000.0,417544.15247377905,409214.7406027254,-904.8948686086463,19836.430562483805,2.0
train,quarter,2011,5516,433877.9878317622,418000.0,431879.067692187,421628.1208766465,-1998.9201395752063,19732.224774551978,3.0
train,quarter,2011,4932,446279.4274128143,430000.0,445473.25675905263,436986.7554630382,-806.1706537616174,20677.823282636557,4.0
train,quarter,2012,5548,449109.7971809662,433000.0,451377.43994824844,440457.0130267598,2267.642767282374,19839.45570497417,1.0
train,quarter,2012,6471,457292.41614588164,440000.0,457751.2004326713,446953.11992627906,458.784286789704,19974.864019276254,2.0
train,quarter,2012,6014,465804.0840771533,450000.0,461601.3656629165,451668.3061474336,-4202.718414236823,20052.878655576158,3.0
train,quarter,2012,5165,475035.51052855764,457000.0,465810.1077948458,456221.0801342804,-9225.402733711737,22393.955621028403,4.0
train,quarter,2013,3825,476568.42980392155,456000.0,464885.7078078303,452468.32796699216,-11682.721996091284,22521.716835702937,1.0
train,quarter,2013,4614,483031.6376246207,465000.0,469409.16361555434,457442.23461034556,-13622.474009066336,24279.071092793765,2.0
train,quarter,2013,4050,477366.8018345679,455000.0,467124.69927133765,454047.1403491454,-10242.102563230233,22251.847259732258,3.0
train,quarter,2013,3608,466838.4526053215,445000.0,463913.023635656,449891.1621010402,-2925.4289696655587,21580.468454382517,4.0
train,quarter,2014,3501,450012.59516709513,430000.0,444323.44076355407,426886.398888278,-5689.154403541067,21475.232325674733,1.0
train,quarter,2014,4227,447840.8036148569,423000.0,446618.00552982563,428204.2125705278,-1222.7980850312244,21568.163541636688,2.0
train,quarter,2014,4153,439595.245095112,415000.0,440847.788461968,419393.1736282895,1252.543366856053,22205.076333523954,3.0
train,quarter,2014,4215,434591.05951838667,410000.0,437938.97691233014,420457.7193386346,3347.917393943404,23297.547057773092,4.0
train,quarter,2015,3749,435924.0410456122,408000.0,434469.6949622027,410122.99057441653,-1454.3460834094722,23692.69419527867,1.0
