location_key,block,street_name,geocode_quality,matched_address,nearest_mrt_station,nearest_mrt_distance_reference_m,mrt_distance_model_eligible,nearest_mrt_distance_m
164|BEDOK STH RD,164,BEDOK STH RD,exact_building,164 BEDOK SOUTH ROAD SIGLAP EAST SINGAPORE 460164,TANAH MERAH,754.6627793692924,True,754.6627793692924
68|BEDOK STH AVE 3,68,BEDOK STH AVE 3,exact_building,68 BEDOK SOUTH AVENUE 3 SIGLAP LUCKY VALLEY SINGAPORE 460068,BAYSHORE,585.9503179385044,True,585.9503179385044
114|BEDOK RESERVOIR RD,114,BEDOK RESERVOIR RD,exact_building,114 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470114,KAKI BUKIT,491.0224847622704,True,491.0224847622704
161|BEDOK STH AVE 3,161,BEDOK STH AVE 3,exact_building,161 BEDOK SOUTH AVENUE 3 SIGLAP EAST SINGAPORE 460161,BAYSHORE,745.8085196173844,True,745.8085196173844
145|BEDOK RESERVOIR RD,145,BEDOK RESERVOIR RD,exact_building,145 BEDOK RESERVOIR ROAD EUNOS SPRING SINGAPORE 470145,KAKI BUKIT,324.0531138556519,True,324.0531138556519
110|BISHAN ST 12,110,BISHAN ST 12,exact_building,110 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570110,BISHAN,353.5008151832271,True,353.5008151832271
406|SIN MING AVE,406,SIN MING AVE,exact_building,406 SIN MING AVENUE SIN MING GARDEN SINGAPORE 570406,BRIGHT HILL,74.91682300605243,True,74.91682300605243
408|SIN MING AVE,408,SIN MING AVE,exact_building,408 SIN MING AVENUE SIN MING GARDEN SINGAPORE 570408,BRIGHT HILL,147.90668740895586,True,147.90668740895586
402|SIN MING AVE,402,SIN MING AVE,exact_building,402 SIN MING AVENUE SIN MING GARDEN SINGAPORE 570402,BRIGHT HILL,77.7602815294365,True,77.7602815294365
339|BT BATOK ST 34,339,BT BATOK ST 34,exact_building,339 BUKIT BATOK STREET 34 SINGAPORE 650339,BUKIT GOMBAK,452.0108152204305,True,452.0108152204305
256|BT BATOK EAST AVE 4,256,BT BATOK EAST AVE 4,exact_building,256 BUKIT BATOK EAST AVENUE 4 SINGAPORE 650256,BUKIT BATOK,945.2061981459752,True,945.2061981459752
253|BT BATOK EAST AVE 5,253,BT BATOK EAST AVE 5,exact_building,253 BUKIT BATOK EAST AVENUE 5 GOMBAK VIEW SINGAPORE 650253,BUKIT BATOK,852.0198134708914,True,852.0198134708914
309|BT BATOK ST 31,309,BT BATOK ST 31,exact_building,309 BUKIT BATOK STREET 31 HONG KAH GREEN SINGAPORE 650309,BUKIT GOMBAK,339.8003883675225,True,339.8003883675225
261|BT BATOK EAST AVE 4,261,BT BATOK EAST AVE 4,exact_building,261 BUKIT BATOK EAST AVENUE 4 SINGAPORE 650261,BUKIT BATOK,987.7329418304944,True,987.7329418304944
535|BT BATOK ST 52,535,BT BATOK ST 52,exact_building,535 BUKIT BATOK STREET 52 GUILIN BREEZE SINGAPORE 650535,BUKIT GOMBAK,454.9238326233675,True,454.9238326233675
109|BT PURMEI RD,109,BT PURMEI RD,exact_building,109 BUKIT PURMEI ROAD BUKIT PURMEI VILLE SINGAPORE 090109,HARBOURFRONT,985.1926169906762,True,985.1926169906762
1|EVERTON PK,1,EVERTON PK,exact_building,1 EVERTON PARK EVERTON PARK SINGAPORE 081001,OUTRAM PARK,176.36988722392235,True,176.36988722392235
5|REDHILL CL,5,REDHILL CL,unresolved,,,,False,
72|REDHILL RD,72,REDHILL RD,exact_building,72 REDHILL ROAD REDHILL RISE SINGAPORE 150072,REDHILL,228.60554815833808,True,228.60554815833808
49|KIM PONG RD,49,KIM PONG RD,exact_building,49 KIM PONG ROAD SINGAPORE 160049,TIONG BAHRU,406.7319051229906,True,406.7319051229906
